wdir,station_id,lat,lon,date
248.5,72281,32.8167,-115.65,2009-04-12
244.5,72281,32.8167,-115.65,2009-04-19
239.4,72281,32.8167,-115.65,2009-04-26
261.5,72281,32.8167,-115.65,2009-05-03
147.0,72281,32.8167,-115.65,2009-05-10
225.0,72281,32.8167,-115.65,2009-05-17
228.5,72281,32.8167,-115.65,2009-05-24
226.0,72281,32.8167,-115.65,2009-06-07
260.0,72281,32.8167,-115.65,2009-06-14
123.0,72281,32.8167,-115.65,2009-06-21
192.0,72281,32.8167,-115.65,2009-06-28
158.0,72281,32.8167,-115.65,2009-07-05
160.0,72281,32.8167,-115.65,2009-07-12
204.5,72281,32.8167,-115.65,2009-07-19
148.0,72281,32.8167,-115.65,2009-07-26
213.0,72281,32.8167,-115.65,2009-08-02
264.0,72281,32.8167,-115.65,2009-08-09
244.0,72281,32.8167,-115.65,2009-08-16
190.0,72281,32.8167,-115.65,2009-08-23
212.0,72281,32.8167,-115.65,2009-08-30
100.0,72281,32.8167,-115.65,2009-09-06
246.0,72281,32.8167,-115.65,2009-09-13
270.0,72281,32.8167,-115.65,2009-09-20
281.0,72281,32.8167,-115.65,2009-10-04
263.0,72281,32.8167,-115.65,2009-10-11
255.0,72281,32.8167,-115.65,2009-10-18
264.0,72281,32.8167,-115.65,2009-10-25
304.6666666666667,72281,32.8167,-115.65,2009-11-01
254.0,72281,32.8167,-115.65,2009-11-15
290.5,72281,32.8167,-115.65,2009-11-29
249.0,72281,32.8167,-115.65,2009-12-06
232.0,72281,32.8167,-115.65,2009-12-13
288.0,72281,32.8167,-115.65,2009-12-20
264.0,72281,32.8167,-115.65,2009-12-27
290.0,72281,32.8167,-115.65,2010-01-17
184.5,72281,32.8167,-115.65,2010-01-24
301.0,72281,32.8167,-115.65,2010-01-31
250.66666666666666,72281,32.8167,-115.65,2010-02-07
281.0,72281,32.8167,-115.65,2010-02-14
252.66666666666666,72281,32.8167,-115.65,2010-02-21
296.5,72281,32.8167,-115.65,2010-02-28
258.6666666666667,72281,32.8167,-115.65,2010-03-07
260.3333333333333,72281,32.8167,-115.65,2010-03-14
331.0,72281,32.8167,-115.65,2010-03-21
300.0,72281,32.8167,-115.65,2010-03-28
251.33333333333334,72281,32.8167,-115.65,2010-04-04
289.0,72281,32.8167,-115.65,2010-04-11
259.0,72281,32.8167,-115.65,2010-04-18
216.33333333333334,72281,32.8167,-115.65,2010-04-25
270.85714285714283,72281,32.8167,-115.65,2010-05-02
241.0,72281,32.8167,-115.65,2010-05-09
264.5,72281,32.8167,-115.65,2010-05-16
249.4,72281,32.8167,-115.65,2010-05-23
273.8,72281,32.8167,-115.65,2010-05-30
211.33333333333334,72281,32.8167,-115.65,2010-06-13
231.0,72281,32.8167,-115.65,2010-06-20
226.33333333333334,72281,32.8167,-115.65,2010-06-27
267.0,72281,32.8167,-115.65,2010-07-04
213.0,72281,32.8167,-115.65,2010-07-11
158.0,72281,32.8167,-115.65,2010-07-18
179.0,72281,32.8167,-115.65,2010-07-25
135.0,72281,32.8167,-115.65,2010-08-01
241.0,72281,32.8167,-115.65,2010-08-08
292.5,72281,32.8167,-115.65,2010-08-15
274.0,72281,32.8167,-115.65,2010-08-22
263.0,72281,32.8167,-115.65,2010-08-29
294.0,72281,32.8167,-115.65,2010-09-12
278.0,72281,32.8167,-115.65,2010-09-26
275.0,72281,32.8167,-115.65,2010-10-10
303.0,72281,32.8167,-115.65,2010-10-17
180.0,72281,32.8167,-115.65,2010-10-24
286.25,72281,32.8167,-115.65,2010-10-31
292.0,72281,32.8167,-115.65,2010-11-07
297.25,72281,32.8167,-115.65,2010-11-14
255.0,72281,32.8167,-115.65,2010-11-21
258.6666666666667,72281,32.8167,-115.65,2010-11-28
271.0,72281,32.8167,-115.65,2010-12-05
163.5,72281,32.8167,-115.65,2010-12-26
209.5,72281,32.8167,-115.65,2011-01-02
290.0,72281,32.8167,-115.65,2011-01-09
304.0,72281,32.8167,-115.65,2011-01-16
333.5,72281,32.8167,-115.65,2011-01-23
319.0,72281,32.8167,-115.65,2011-01-30
295.0,72281,32.8167,-115.65,2011-02-06
259.0,72281,32.8167,-115.65,2011-02-20
258.5,72281,32.8167,-115.65,2011-02-27
288.5,72281,32.8167,-115.65,2011-03-06
285.0,72281,32.8167,-115.65,2011-03-13
270.5,72281,32.8167,-115.65,2011-03-20
266.6,72281,32.8167,-115.65,2011-03-27
255.0,72281,32.8167,-115.65,2011-04-03
252.8,72281,32.8167,-115.65,2011-04-10
256.5,72281,32.8167,-115.65,2011-04-17
264.8333333333333,72281,32.8167,-115.65,2011-04-24
320.0,72281,32.8167,-115.65,2011-05-01
243.66666666666666,72281,32.8167,-115.65,2011-05-08
263.5,72281,32.8167,-115.65,2011-05-15
256.75,72281,32.8167,-115.65,2011-05-22
251.25,72281,32.8167,-115.65,2011-05-29
244.0,72281,32.8167,-115.65,2011-06-05
241.0,72281,32.8167,-115.65,2011-06-12
255.75,72281,32.8167,-115.65,2011-06-19
226.0,72281,32.8167,-115.65,2011-06-26
238.0,72281,32.8167,-115.65,2011-07-03
198.0,72281,32.8167,-115.65,2011-07-10
242.33333333333334,72281,32.8167,-115.65,2011-07-17
182.66666666666666,72281,32.8167,-115.65,2011-07-24
143.0,72281,32.8167,-115.65,2011-07-31
217.66666666666666,72281,32.8167,-115.65,2011-08-07
136.5,72281,32.8167,-115.65,2011-08-21
225.0,72281,32.8167,-115.65,2011-08-28
288.5,72281,32.8167,-115.65,2011-09-04
140.5,72281,32.8167,-115.65,2011-09-11
262.0,72281,32.8167,-115.65,2011-10-09
165.0,72281,32.8167,-115.65,2011-10-16
296.0,72281,32.8167,-115.65,2011-10-23
297.3333333333333,72281,32.8167,-115.65,2011-10-30
336.0,72281,32.8167,-115.65,2012-01-29
253.33333333333334,72281,32.8167,-115.65,2012-02-12
275.3333333333333,72281,32.8167,-115.65,2012-02-19
275.0,72281,32.8167,-115.65,2012-02-26
266.3333333333333,72281,32.8167,-115.65,2012-03-04
232.33333333333334,72281,32.8167,-115.65,2012-03-11
242.33333333333334,72281,32.8167,-115.65,2012-03-18
209.5,72281,32.8167,-115.65,2012-03-25
270.25,72281,32.8167,-115.65,2012-04-01
316.5,72281,32.8167,-115.65,2012-04-08
249.0,72281,32.8167,-115.65,2012-04-15
204.5,72281,32.8167,-115.65,2012-04-22
227.75,72281,32.8167,-115.65,2012-04-29
223.0,72281,32.8167,-115.65,2012-05-06
259.5,72281,32.8167,-115.65,2012-05-13
260.0,72281,32.8167,-115.65,2012-05-20
246.6,72281,32.8167,-115.65,2012-05-27
206.0,72281,32.8167,-115.65,2012-06-03
235.0,72281,32.8167,-115.65,2012-06-10
185.5,72281,32.8167,-115.65,2012-06-17
239.0,72281,32.8167,-115.65,2012-06-24
232.0,72281,32.8167,-115.65,2012-07-01
122.5,72281,32.8167,-115.65,2012-07-08
147.33333333333334,72281,32.8167,-115.65,2012-07-15
238.0,72281,32.8167,-115.65,2012-07-22
185.66666666666666,72281,32.8167,-115.65,2012-07-29
241.0,72281,32.8167,-115.65,2012-08-05
119.0,72281,32.8167,-115.65,2012-08-12
129.33333333333334,72281,32.8167,-115.65,2012-08-19
148.0,72281,32.8167,-115.65,2012-09-02
118.0,72281,32.8167,-115.65,2012-09-09
119.0,72281,32.8167,-115.65,2012-09-16
284.0,72281,32.8167,-115.65,2012-09-23
265.0,72281,32.8167,-115.65,2012-09-30
245.0,72281,32.8167,-115.65,2012-10-07
257.0,72281,32.8167,-115.65,2012-10-14
245.0,72281,32.8167,-115.65,2012-10-21
